product_id,nama_produk,kategori,harga_modal_idr,harga_jual_idr,is_active
PROD-0001,Product Premium Type-1,Beauty & Health,6359183,8833943,True
PROD-0002,Product Premium Type-2,Beauty & Health,6657071,9102011,True
PROD-0003,Product Premium Type-3,Automotive,5800236,7871626,True
PROD-0004,Product Premium Type-4,Beauty & Health,6957667,8712136,True
PROD-0005,Product Premium Type-5,Automotive,1474087,2051176,True
PROD-0006,Product Premium Type-6,Electronics,2556528,2980189,False
PROD-0007,Product Premium Type-7,Automotive,2133542,2555743,True
PROD-0008,Product Premium Type-8,Books,6947496,8689142,True
PROD-0009,Product Premium Type-9,Apparel,962635,1129211,True
PROD-0010,Product Premium Type-10,Beauty & Health,3527626,4305461,True
PROD-0011,Product Premium Type-11,Automotive,1411689,1975016,True
PROD-0012,Product Premium Type-12,Apparel,3841126,5510000,True
PROD-0013,Product Premium Type-13,Apparel,3091983,3838328,True
PROD-0014,Product Premium Type-14,Electronics,2871230,3529760,True
PROD-0015,Product Premium Type-15,Home & Living,5607088,6918966,True
PROD-0016,Product Premium Type-16,Apparel,2143433,2643529,True
PROD-0017,Product Premium Type-17,Automotive,6370645,7394911,True
PROD-0018,Product Premium Type-18,Home & Living,4481397,6399770,True
PROD-0019,Product Premium Type-19,Electronics,5578535,6772952,True
PROD-0020,Product Premium Type-20,Books,3703621,4725824,False
PROD-0021,Product Premium Type-21,Books,4581766,5282345,True
PROD-0022,Product Premium Type-22,Books,6711053,9445045,False
PROD-0023,Product Premium Type-23,Apparel,6252018,8561183,False
PROD-0024,Product Premium Type-24,Home & Living,5025546,7206767,True
PROD-0025,Product Premium Type-25,Electronics,1322991,1831660,True
PROD-0026,Product Premium Type-26,Home & Living,6996138,8703978,True
PROD-0027,Product Premium Type-27,Beauty & Health,5309749,6501054,True
PROD-0028,Product Premium Type-28,Apparel,6873699,9343521,True
PROD-0029,Product Premium Type-29,Automotive,3756404,4730191,False
PROD-0030,Product Premium Type-30,Electronics,1839188,2427478,True
PROD-0031,Product Premium Type-31,Home & Living,2132359,2456215,True
PROD-0032,Product Premium Type-32,Home & Living,243401,284430,True
PROD-0033,Product Premium Type-33,Books,1010132,1323889,True
PROD-0034,Product Premium Type-34,Home & Living,184292,243232,True
PROD-0035,Product Premium Type-35,Home & Living,5745146,7902079,True
PROD-0036,Product Premium Type-36,Apparel,4716066,5610183,True
PROD-0037,Product Premium Type-37,Electronics,3192759,4163213,True
PROD-0038,Product Premium Type-38,Beauty & Health,488937,590799,True
PROD-0039,Product Premium Type-39,Beauty & Health,2989391,3521379,True
PROD-0040,Product Premium Type-40,Automotive,6912056,8800075,True
PROD-0041,Product Premium Type-41,Books,2706206,3244743,True
PROD-0042,Product Premium Type-42,Apparel,1217097,1480640,True
PROD-0043,Product Premium Type-43,Home & Living,6668433,8303975,True
PROD-0044,Product Premium Type-44,Beauty & Health,212771,261243,False
PROD-0045,Product Premium Type-45,Automotive,262199,308418,True
PROD-0046,Product Premium Type-46,Electronics,7315213,8609821,True
PROD-0047,Product Premium Type-47,Books,6028899,7282758,True
PROD-0048,Product Premium Type-48,Automotive,2882281,3358340,True
PROD-0049,Product Premium Type-49,Books,2757481,3689336,True
PROD-0050,Product Premium Type-50,Electronics,4859777,6007646,True
PROD-0051,Product Premium Type-51,Home & Living,2299316,2837180,True
PROD-0052,Product Premium Type-52,Electronics,3627615,4533065,True
PROD-0053,Product Premium Type-53,Automotive,1608214,2169221,True
PROD-0054,Product Premium Type-54,Books,776518,1095814,True
PROD-0055,Product Premium Type-55,Home & Living,538313,741647,True
PROD-0056,Product Premium Type-56,Home & Living,7359182,10069265,False
PROD-0057,Product Premium Type-57,Home & Living,3956586,5125034,True
PROD-0058,Product Premium Type-58,Electronics,3239215,4399312,True
PROD-0059,Product Premium Type-59,Electronics,6465150,8507029,True
PROD-0060,Product Premium Type-60,Home & Living,6440309,7824171,False
PROD-0061,Product Premium Type-61,Beauty & Health,3485989,4227028,True
PROD-0062,Product Premium Type-62,Apparel,2357214,2920393,False
PROD-0063,Product Premium Type-63,Books,2355229,3352058,True
PROD-0064,Product Premium Type-64,Home & Living,5106820,6711507,True
PROD-0065,Product Premium Type-65,Electronics,5291662,7250485,True
PROD-0066,Product Premium Type-66,Electronics,1888462,2368070,True
PROD-0067,Product Premium Type-67,Books,6122216,7789385,True
PROD-0068,Product Premium Type-68,Books,679224,806693,True
PROD-0069,Product Premium Type-69,Apparel,2275397,2733635,True
PROD-0070,Product Premium Type-70,Electronics,2024284,2830367,False
PROD-0071,Product Premium Type-71,Automotive,2026676,2686260,True
PROD-0072,Product Premium Type-72,Automotive,7487290,9368544,True
PROD-0073,Product Premium Type-73,Apparel,1709532,2377711,True
PROD-0074,Product Premium Type-74,Books,479418,586786,True
PROD-0075,Product Premium Type-75,Electronics,5750496,8296872,True
PROD-0076,Product Premium Type-76,Books,1497542,1877086,True
PROD-0077,Product Premium Type-77,Electronics,4498014,5627884,True
PROD-0078,Product Premium Type-78,Apparel,4881854,6070944,True
PROD-0079,Product Premium Type-79,Beauty & Health,7322567,8689202,True
PROD-0080,Product Premium Type-80,Home & Living,587621,695356,True
PROD-0081,Product Premium Type-81,Apparel,3554801,4779186,True
PROD-0082,Product Premium Type-82,Books,4833163,6827013,True
PROD-0083,Product Premium Type-83,Books,7485295,10383273,False
PROD-0084,Product Premium Type-84,Home & Living,6309851,7523439,True
PROD-0085,Product Premium Type-85,Home & Living,1623099,2132223,False
PROD-0086,Product Premium Type-86,Home & Living,4219463,4986044,True
PROD-0087,Product Premium Type-87,Books,3838233,4466123,True
PROD-0088,Product Premium Type-88,Apparel,7314869,9852512,True
PROD-0089,Product Premium Type-89,Automotive,1236569,1620580,True
PROD-0090,Product Premium Type-90,Home & Living,4586307,5387108,True
PROD-0091,Product Premium Type-91,Electronics,1220885,1416814,True
PROD-0092,Product Premium Type-92,Books,1181083,1708940,True
PROD-0093,Product Premium Type-93,Beauty & Health,1999324,2317229,True
PROD-0094,Product Premium Type-94,Books,5282623,6779499,True
PROD-0095,Product Premium Type-95,Apparel,3923190,5105583,False
PROD-0096,Product Premium Type-96,Apparel,7411133,8783556,True
PROD-0097,Product Premium Type-97,Home & Living,3413445,4098586,True
PROD-0098,Product Premium Type-98,Beauty & Health,2767974,3475306,True
PROD-0099,Product Premium Type-99,Books,3517099,4848330,True
PROD-0100,Product Premium Type-100,Electronics,1304180,1698205,True
PROD-0101,Product Premium Type-101,Home & Living,3358178,4504561,False
PROD-0102,Product Premium Type-102,Beauty & Health,4556211,6586241,True
PROD-0103,Product Premium Type-103,Apparel,2609182,3601719,True
PROD-0104,Product Premium Type-104,Electronics,1833286,2347171,True
PROD-0105,Product Premium Type-105,Apparel,4624757,5937876,False
PROD-0106,Product Premium Type-106,Home & Living,4890313,6531656,True
PROD-0107,Product Premium Type-107,Electronics,4388089,5922206,True
PROD-0108,Product Premium Type-108,Apparel,6520991,8478679,True
PROD-0109,Product Premium Type-109,Books,2822921,3792476,True
PROD-0110,Product Premium Type-110,Books,4399142,5090070,True
PROD-0111,Product Premium Type-111,Beauty & Health,6886898,8807563,True
PROD-0112,Product Premium Type-112,Home & Living,294160,362899,True
PROD-0113,Product Premium Type-113,Electronics,2594931,3084730,True
PROD-0114,Product Premium Type-114,Apparel,466904,550883,True
PROD-0115,Product Premium Type-115,Beauty & Health,5095414,6781780,True
PROD-0116,Product Premium Type-116,Apparel,5117792,6689364,True
PROD-0117,Product Premium Type-117,Books,603526,739968,True
PROD-0118,Product Premium Type-118,Beauty & Health,6637208,8570527,True
PROD-0119,Product Premium Type-119,Home & Living,5881249,7631918,True
PROD-0120,Product Premium Type-120,Electronics,862393,1042204,False
PROD-0121,Product Premium Type-121,Books,3370503,4535442,True
PROD-0122,Product Premium Type-122,Books,7278717,10075751,True
PROD-0123,Product Premium Type-123,Automotive,5159544,7158552,True
PROD-0124,Product Premium Type-124,Books,839422,1117053,True
PROD-0125,Product Premium Type-125,Beauty & Health,5330431,6948171,True
PROD-0126,Product Premium Type-126,Beauty & Health,6243545,7294347,True
PROD-0127,Product Premium Type-127,Apparel,759983,939604,True
PROD-0128,Product Premium Type-128,Home & Living,2288429,2695726,True
PROD-0129,Product Premium Type-129,Books,3160812,4548872,True
PROD-0130,Product Premium Type-130,Automotive,4300115,5119390,True
PROD-0131,Product Premium Type-131,Beauty & Health,2901280,3468574,True
PROD-0132,Product Premium Type-132,Beauty & Health,2963687,4199168,True
PROD-0133,Product Premium Type-133,Books,5178435,7421621,True
PROD-0134,Product Premium Type-134,Apparel,1441842,1989379,True
PROD-0135,Product Premium Type-135,Electronics,2356256,2713515,False
PROD-0136,Product Premium Type-136,Electronics,3714024,4272627,True
PROD-0137,Product Premium Type-137,Electronics,4421650,5586446,True
PROD-0138,Product Premium Type-138,Apparel,3727418,4446879,True
PROD-0139,Product Premium Type-139,Apparel,2306608,2665322,False
PROD-0140,Product Premium Type-140,Home & Living,3955010,5098878,True
PROD-0141,Product Premium Type-141,Automotive,5666889,8120190,True
PROD-0142,Product Premium Type-142,Electronics,3666771,4572998,False
PROD-0143,Product Premium Type-143,Beauty & Health,6453099,8700985,True
PROD-0144,Product Premium Type-144,Apparel,4104441,5523225,True
PROD-0145,Product Premium Type-145,Electronics,5381430,6593995,True
PROD-0146,Product Premium Type-146,Beauty & Health,6800602,9147677,True
PROD-0147,Product Premium Type-147,Home & Living,985652,1196286,True
PROD-0148,Product Premium Type-148,Books,2213370,2626389,True
PROD-0149,Product Premium Type-149,Automotive,7498328,10200837,True
PROD-0150,Product Premium Type-150,Beauty & Health,1573485,1863056,True
PROD-0151,Product Premium Type-151,Electronics,1592343,2307420,True
PROD-0152,Product Premium Type-152,Books,3350495,4037466,True
PROD-0153,Product Premium Type-153,Books,5126515,6809255,True
PROD-0154,Product Premium Type-154,Home & Living,5659738,7207180,True
PROD-0155,Product Premium Type-155,Home & Living,6033228,7166967,True
PROD-0156,Product Premium Type-156,Books,3410744,3950846,False
PROD-0157,Product Premium Type-157,Electronics,6348897,8487330,True
