order_id,user_id,product_id,jumlah_barang,order_timestamp,metode_pembayaran,status_order
ORD-000001,USR-1087,PROD-0909,3,2026-06-20 04:46:29,OVO,Delivered
ORD-000002,USR-0820,PROD-2014,2,2026-06-01 23:28:53,CREDIT_CARD,Shipped
ORD-000003,USR-1303,PROD-0209,2,2026-06-05 04:36:03,DANA,Delivered
ORD-000004,USR-1566,PROD-1985,5,2026-06-28 02:16:07,CREDIT_CARD,Delivered
ORD-000005,USR-1195,PROD-0058,5,2026-06-02 00:12:45,DANA,Delivered
ORD-000006,USR-1527,PROD-2008,4,2026-06-13 12:48:33,DANA,Cancelled
ORD-000007,USR-0299,PROD-1369,2,2026-06-12 02:44:57,VA_BCA,Delivered
ORD-000008,USR-2249,PROD-1038,4,2026-06-27 17:12:45,VA_MANDIRI,Shipped
ORD-000009,USR-1159,PROD-1383,1,2026-06-06 10:01:25,DANA,Delivered
ORD-000010,USR-0272,PROD-0377,2,2026-06-01 13:36:33,DANA,Pending
ORD-000011,USR-0535,PROD-2291,2,2026-06-07 23:42:27,VA_BCA,Processing
ORD-000012,USR-2079,PROD-0993,2,2026-06-12 00:31:43,VA_BCA,Shipped
ORD-000013,USR-1145,PROD-0415,5,2026-06-18 06:34:12,VA_MANDIRI,Delivered
ORD-000014,USR-0069,PROD-0394,3,2026-06-29 13:15:02,DANA,Shipped
ORD-000015,USR-0827,PROD-0729,3,2026-06-17 12:12:00,GOPAY,Delivered
ORD-000016,USR-1170,PROD-0358,5,2026-06-10 03:55:54,OVO,Shipped
ORD-000017,USR-0984,PROD-1600,5,2026-06-09 17:38:39,VA_BCA,Delivered
ORD-000018,USR-0481,PROD-1182,5,2026-06-02 23:29:07,CREDIT_CARD,Cancelled
ORD-000019,USR-2341,PROD-2066,3,2026-06-19 15:35:02,VA_BCA,Returned
ORD-000020,USR-2016,PROD-1592,4,2026-06-03 00:57:01,DANA,Delivered
ORD-000021,USR-1453,PROD-0155,5,2026-06-16 06:11:35,GOPAY,Delivered
ORD-000022,USR-2134,PROD-1591,4,2026-06-14 05:27:21,GOPAY,Delivered
