log_id,session_id,user_id,hit_timestamp,page_url,ip_address,device_type,response_time_ms
LOG-0000001,SES-503348,USR-1252,2026-06-28 13:53:20,/product/view,217.71.9.152,Desktop-MacOS,116
LOG-0000002,SES-565588,USR-1849,2026-06-20 11:36:55,/cart/add,105.96.7.251,Mobile-Android,872
LOG-0000003,SES-146573,USR-0483,2026-06-13 14:51:37,/product/view,104.73.5.90,Mobile-Android,294
LOG-0000004,SES-335351,USR-2478,2026-06-02 06:59:57,/home,103.42.7.221,Desktop-Windows,421
LOG-0000005,SES-315723,USR-0343,2026-06-03 00:02:02,/cart/add,202.59.8.198,Mobile-iOS,261
LOG-0000006,SES-497753,USR-1197,2026-06-17 08:02:59,/search,112.64.9.159,Mobile-Android,930
LOG-0000007,SES-293385,USR-1463,2026-06-28 17:00:19,/payment/success,212.54.7.7,Desktop-MacOS,617
LOG-0000008,SES-791982,USR-1203,2026-06-10 01:58:37,/home,148.14.7.195,Mobile-Android,476
LOG-0000009,SES-552025,USR-1622,2026-06-12 11:08:53,/product/view,215.21.7.65,Desktop-MacOS,1182
LOG-0000010,SES-658358,USR-2181,2026-06-20 13:13:44,/payment/success,169.21.1.63,Desktop-MacOS,1324
LOG-0000011,SES-154798,USR-2399,2026-06-29 11:27:16,/cart/add,192.90.1.117,Mobile-iOS,1142
LOG-0000012,SES-792482,USR-2132,2026-06-21 21:59:39,/search,148.53.3.155,Desktop-MacOS,495
LOG-0000013,SES-419970,USR-0993,2026-06-23 00:56:28,/search,160.14.5.80,Desktop-MacOS,963
LOG-0000014,SES-132826,USR-2391,2026-06-05 00:42:05,/checkout,170.67.3.158,Desktop-MacOS,1223
LOG-0000015,SES-667855,USR-1190,2026-06-22 15:42:22,/product/view,152.22.0.176,Desktop-Windows,157
LOG-0000016,SES-900059,USR-2341,2026-06-03 05:56:42,/checkout,116.85.0.240,Desktop-MacOS,1227
LOG-0000017,SES-464699,USR-1604,2026-06-04 17:22:01,/search,164.66.1.129,Mobile-Android,1079
LOG-0000018,SES-127254,USR-1194,2026-06-30 09:05:09,/checkout,123.69.4.179,Mobile-Android,602
LOG-0000019,SES-738309,USR-0598,2026-06-19 16:47:00,/home,172.59.8.168,Desktop-Windows,540
LOG-0000020,SES-891127,USR-0645,2026-06-20 03:19:54,/cart/add,192.16.4.150,Mobile-iOS,517
LOG-0000021,SES-452550,USR-0448,2026-06-24 19:44:07,/search,115.99.8.126,Desktop-MacOS,920
LOG-0000022,SES-968386,USR-0764,2026-06-30 03:31:20,/product/view,122.67.4.219,Desktop-MacOS,608
LOG-0000023,SES-375285,USR-0735,2026-06-08 00:36:30,/checkout,120.15.4.154,Desktop-MacOS,979
LOG-0000024,SES-949602,USR-1643,2026-06-15 14:19:20,/checkout,142.64.1.176,Desktop-Windows,435
LOG-0000025,SES-889911,USR-2298,2026-06-04 11:32:47,/payment/success,119.19.3.124,Desktop-Windows,1079
LOG-0000026,SES-719665,USR-0601,2026-06-10 20:02:15,/product/view,162.41.0.100,Desktop-MacOS,1136
LOG-0000027,SES-327062,USR-2173,2026-06-01 15:44:50,/checkout,199.93.2.198,Desktop-MacOS,393
LOG-0000028,SES-894036,USR-2161,2026-06-21 14:51:58,/checkout,148.15.4.47,Mobile-iOS,1420
LOG-0000029,SES-128673,USR-0981,2026-06-14 06:45:56,/product/view,128.53.9.217,Mobile-Android,1113
LOG-0000030,SES-457506,USR-1783,2026-06-17 23:03:46,/payment/success,163.39.7.207,Mobile-iOS,580
LOG-0000031,SES-861042,USR-2198,2026-06-06 23:52:06,/home,189.24.1.43,Mobile-Android,321
LOG-0000032,SES-969520,USR-2391,2026-06-11 15:59:54,/search,117.26.9.145,Desktop-Windows,818
LOG-0000033,SES-751721,USR-0580,2026-06-27 03:17:12,/home,103.66.7.94,Mobile-iOS,845
LOG-0000034,SES-555161,USR-0783,2026-06-11 02:47:55,/payment/success,201.99.6.6,Mobile-iOS,220
LOG-0000035,SES-548317,USR-2369,2026-06-22 00:10:17,/payment/success,190.77.5.163,Desktop-MacOS,490
LOG-0000036,SES-920628,USR-0532,2026-06-06 06:41:22,/payment/success,169.23.6.122,Mobile-iOS,693
LOG-0000037,SES-864649,USR-1513,2026-06-17 12:41:34,/product/view,104.45.6.143,Desktop-Windows,262
LOG-0000038,SES-871137,USR-0612,2026-06-30 09:02:22,/product/view,189.64.1.17,Desktop-MacOS,503
LOG-0000039,SES-888949,USR-2300,2026-06-21 13:53:18,/cart/add,111.43.5.122,Desktop-Windows,1458
LOG-0000040,SES-159893,USR-2006,2026-06-28 07:40:06,/payment/success,151.74.3.233,Mobile-Android,687
LOG-0000041,SES-946616,USR-1101,2026-06-06 11:59:57,/search,218.27.1.7,Mobile-Android,300
LOG-0000042,SES-214515,USR-1671,2026-06-14 15:47:14,/search,120.21.9.48,Mobile-Android,1187
LOG-0000043,SES-680170,USR-1416,2026-06-24 10:23:13,/product/view,185.35.7.169,Desktop-Windows,200
LOG-0000044,SES-506963,USR-1436,2026-06-27 18:19:04,/cart/add,169.57.8.68,Desktop-Windows,1468
LOG-0000045,SES-856334,USR-2221,2026-06-15 22:34:18,/search,161.18.2.150,Mobile-Android,57
LOG-0000046,SES-810902,USR-0875,2026-06-22 19:00:09,/cart/add,152.24.8.11,Desktop-Windows,165
LOG-0000047,SES-401380,USR-2249,2026-06-11 05:08:37,/product/view,129.35.2.77,Mobile-iOS,954
LOG-0000048,SES-660737,USR-0217,2026-06-15 11:38:25,/product/view,117.99.6.3,Desktop-Windows,434
LOG-0000049,SES-586017,USR-0376,2026-06-24 23:51:02,/search,147.17.8.202,Desktop-MacOS,1006
LOG-0000050,SES-544423,USR-1610,2026-06-15 22:17:56,/payment/success,101.24.8.171,Desktop-MacOS,917
LOG-0000051,SES-700417,USR-0011,2026-06-13 09:52:54,/payment/success,134.84.8.3,Mobile-Android,1294
LOG-0000052,SES-854157,USR-1614,2026-06-17 20:15:57,/product/view,138.27.5.236,Mobile-iOS,885
LOG-0000053,SES-695908,USR-2483,2026-06-25 12:56:19,/product/view,131.71.3.49,Mobile-Android,473
LOG-0000054,SES-906367,USR-0818,2026-06-06 18:57:32,/checkout,184.70.7.123,Mobile-iOS,463
