movement_id,product_id,warehouse_id,jenis_mutasi,kuantitas_perubahan,recorded_timestamp,operator_id
MOV-000001,PROD-0686,WH-JAKARTA-01,INBOUND,52,2026-06-16 17:13:11,OP-549
MOV-000002,PROD-0462,WH-SURABAYA-02,INBOUND,164,2026-06-13 20:40:52,OP-710
MOV-000003,PROD-0871,WH-JAKARTA-01,INBOUND,74,2026-06-07 13:01:58,OP-483
MOV-000004,PROD-0368,WH-MEDAN-03,RETUR_STOCK,39,2026-06-01 18:21:31,OP-579
MOV-000005,PROD-0166,WH-SURABAYA-02,OUTBOUND,228,2026-06-19 05:55:04,OP-141
MOV-000006,PROD-1729,WH-BANDUNG-04,INBOUND,208,2026-06-21 06:07:52,OP-875
MOV-000007,PROD-0602,WH-BANDUNG-04,INBOUND,72,2026-06-05 23:50:03,OP-769
MOV-000008,PROD-2174,WH-BANDUNG-04,ADJUSTMENT_DEFECT,164,2026-06-20 12:50:18,OP-310
MOV-000009,PROD-0038,WH-JAKARTA-01,INBOUND,63,2026-06-19 09:01:41,OP-683
MOV-000010,PROD-0348,WH-SURABAYA-02,OUTBOUND,122,2026-06-26 22:31:29,OP-678
MOV-000011,PROD-1237,WH-BANDUNG-04,INBOUND,167,2026-06-03 10:12:07,OP-945
MOV-000012,PROD-2022,WH-BANDUNG-04,OUTBOUND,116,2026-06-15 01:25:42,OP-516
MOV-000013,PROD-0734,WH-SURABAYA-02,ADJUSTMENT_DEFECT,148,2026-06-06 13:31:28,OP-247
MOV-000014,PROD-0426,WH-JAKARTA-01,OUTBOUND,123,2026-06-16 17:38:27,OP-485
MOV-000015,PROD-1271,WH-JAKARTA-01,OUTBOUND,119,2026-06-08 08:42:05,OP-328
MOV-000016,PROD-0648,WH-SURABAYA-02,OUTBOUND,211,2026-06-27 16:13:02,OP-608
MOV-000017,PROD-2334,WH-SURABAYA-02,OUTBOUND,109,2026-06-01 04:14:57,OP-579
MOV-000018,PROD-0320,WH-BANDUNG-04,INBOUND,184,2026-06-10 18:10:37,OP-703
MOV-000019,PROD-0512,WH-JAKARTA-01,INBOUND,70,2026-06-08 00:39:52,OP-288
MOV-000020,PROD-2273,WH-MEDAN-03,RETUR_STOCK,10,2026-06-29 07:15:15,OP-863
MOV-000021,PROD-1723,WH-MEDAN-03,INBOUND,18,2026-06-14 19:28:00,OP-927
MOV-000022,PROD-1757,WH-BANDUNG-04,INBOUND,237,2026-06-30 04:01:11,OP-877
MOV-000023,PROD-1778,WH-MEDAN-03,OUTBOUND,161,2026-06-05 08:58:27,OP-554
MOV-000024,PROD-1540,WH-BANDUNG-04,RETUR_STOCK,110,2026-06-13 16:06:37,OP-171
MOV-000025,PROD-0938,WH-JAKARTA-01,OUTBOUND,158,2026-06-14 10:12:26,OP-786
MOV-000026,PROD-0765,WH-MEDAN-03,OUTBOUND,22,2026-06-12 13:55:35,OP-904
